customerID,BeginDate,EndDate_raw,EndDate_parsed,tenure_months_snapshot,MonthlyCharges,TotalCharges,num_internet_services,has_internet,has_phone,num_services,avg_monthly_from_total,payment_auto,gender,SeniorCitizen,Partner,Dependents,Type,PaperlessBilling,PaymentMethod,InternetService,MultipleLines,churn_left,active_at_snapshot,target
5129-JLPIS,2018-01-01,No,,25.0,105.5,2686.05,5,1,0,5,107.44200000000001,0,Male,0,No,No,Month-to-month,Yes,Electronic check,Fiber optic,No,0,1,1
3655-SNQYZ,2014-05-01,No,,69.05,113.25,7895.15,6,1,1,7,114.33960897900073,1,Female,0,Yes,Yes,Two year,No,Credit card (automatic),Fiber optic,Yes,0,1,1
8191-XWSZG,2015-10-01,No,,52.04,20.65,1022.95,0,0,0,0,19.656994619523445,0,Female,0,No,No,One year,No,Mailed check,,No,0,1,1
9959-WOFKT,2014-03-01,No,,71.06,106.7,7382.25,4,1,1,5,103.88755980861244,1,Male,0,No,Yes,Two year,No,Bank transfer (automatic),Fiber optic,Yes,0,1,1
4190-MFLUW,2019-01-01,2019-11-01 00:00:00,2019-11-01,13.01,55.2,528.35,2,1,0,2,40.61106840891622,1,Female,0,Yes,Yes,Month-to-month,No,Credit card (automatic),DSL,No,1,0,0
4183-MYFRB,2018-05-01,No,,21.06,90.05,1862.9,3,1,0,3,88.4567901234568,0,Female,0,No,No,Month-to-month,Yes,Electronic check,Fiber optic,No,0,1,1
8779-QRDMV,2019-11-01,2019-12-01 00:00:00,2019-12-01,3.02,39.65,39.65,2,1,0,2,13.129139072847682,0,Male,1,No,No,Month-to-month,Yes,Electronic check,DSL,,1,0,0
1680-VDCWW,2019-02-01,No,,11.99,19.8,202.25,0,0,0,0,16.868223519599667,1,Male,0,Yes,No,One year,No,Bank transfer (automatic),,No,0,1,1
1066-JKSGK,2019-11-01,2019-12-01 00:00:00,2019-12-01,3.02,20.15,20.15,0,0,0,0,6.672185430463576,0,Male,0,No,No,Month-to-month,No,Mailed check,,No,1,0,0
3638-WEABW,2015-04-01,No,,58.05,59.9,3505.1,2,1,1,3,60.38070628768303,1,Female,0,Yes,No,Two year,Yes,Credit card (automatic),DSL,Yes,0,1,1
6322-HRPFA,2016-01-01,No,,49.01,59.6,2970.3,3,1,0,3,60.60599877576006,1,Male,0,Yes,Yes,Month-to-month,No,Credit card (automatic),DSL,No,0,1,1
6865-JZNKO,2017-08-01,No,,30.03,55.3,1530.6,2,1,0,2,50.96903096903097,1,Female,0,No,No,Month-to-month,Yes,Bank transfer (automatic),DSL,No,0,1,1
6467-CHFZW,2015-12-01,2019-11-01 00:00:00,2019-11-01,50.03,99.35,4749.15,3,1,1,4,94.92604437337596,0,Male,0,Yes,Yes,Month-to-month,Yes,Electronic check,Fiber optic,Yes,1,0,0
8665-UTDHZ,2019-11-01,2019-12-01 00:00:00,2019-12-01,3.02,30.2,30.2,1,1,0,1,10.0,0,Male,0,Yes,Yes,Month-to-month,No,Electronic check,DSL,,1,0,0
5248-YGIJN,2014-02-01,No,,71.98,90.25,6369.45,6,1,1,7,88.48916365657126,1,Male,0,Yes,No,Two year,Yes,Credit card (automatic),DSL,Yes,0,1,1
8773-HHUOZ,2018-06-01,2019-11-01 00:00:00,2019-11-01,20.04,64.7,1093.1,2,1,0,2,54.54590818363273,0,Female,0,No,Yes,Month-to-month,Yes,Mailed check,DSL,No,1,0,0
3841-NFECX,2014-03-01,No,,71.06,96.35,6766.95,4,1,1,5,95.2286799887419,1,Female,1,Yes,No,Two year,Yes,Credit card (automatic),Fiber optic,Yes,0,1,1
4929-XIHVW,2019-12-01,No,,2.04,95.5,181.65,3,1,0,3,89.04411764705883,1,Male,1,Yes,No,Month-to-month,Yes,Credit card (automatic),Fiber optic,No,0,1,1
6827-IEAUQ,2017-11-01,No,,27.0,66.15,1874.45,4,1,0,4,69.42407407407407,0,Female,0,Yes,Yes,One year,No,Mailed check,DSL,No,0,1,1
7310-EGVHZ,2020-01-01,No,,1.02,20.2,20.2,0,0,0,0,19.80392156862745,1,Male,0,No,No,Month-to-month,No,Bank transfer (automatic),,No,0,1,1
3413-BMNZE,2020-01-01,No,,1.02,45.25,45.25,0,1,0,0,44.36274509803921,1,Male,1,No,No,Month-to-month,No,Bank transfer (automatic),DSL,No,0,1,1
6234-RAAPL,2014-02-01,No,,71.98,99.9,7251.7,4,1,1,5,100.7460405668241,1,Female,0,Yes,Yes,Two year,No,Bank transfer (automatic),Fiber optic,Yes,0,1,1
6047-YHPVI,2019-06-01,2019-11-01 00:00:00,2019-11-01,8.05,69.7,316.9,0,1,0,0,39.366459627329185,0,Male,0,No,No,Month-to-month,Yes,Electronic check,Fiber optic,No,1,0,0
6572-ADKRS,2016-04-01,No,,46.02,74.8,3548.3,1,1,0,1,77.10343328987396,1,Female,0,No,No,Month-to-month,Yes,Credit card (automatic),Fiber optic,No,0,1,1
5380-WJKOV,2017-02-01,2019-12-01 00:00:00,2019-12-01,35.97,106.35,3549.25,4,1,1,5,98.67250486516542,0,Male,0,No,No,Month-to-month,Yes,Electronic check,Fiber optic,Yes,1,0,0
8168-UQWWF,2018-12-01,2019-11-01 00:00:00,2019-11-01,14.03,97.85,1105.4,3,1,1,4,78.78831076265148,1,Female,0,No,No,Month-to-month,Yes,Bank transfer (automatic),Fiber optic,Yes,1,0,0
8865-TNMNX,2019-04-01,No,,10.05,49.55,475.7,1,1,0,1,47.33333333333333,0,Male,0,Yes,Yes,One year,No,Mailed check,DSL,No,0,1,1
9489-DEDVP,2014-04-01,No,,70.04,69.2,4872.35,3,1,1,4,69.56524842946888,1,Female,0,Yes,Yes,Two year,Yes,Credit card (automatic),DSL,Yes,0,1,1
9867-JCZSP,2018-09-01,No,,17.02,20.75,418.25,0,0,0,0,24.574030552291422,0,Female,0,Yes,Yes,One year,No,Mailed check,,No,0,1,1
4671-VJLCL,2014-11-01,No,,63.01,79.85,4861.45,5,1,1,6,77.15362640850658,1,Female,0,No,No,Two year,Yes,Credit card (automatic),DSL,Yes,0,1,1
4080-IIARD,2019-01-01,No,,13.01,76.2,981.45,4,1,1,5,75.43812451960031,0,Female,0,Yes,No,Month-to-month,Yes,Electronic check,DSL,Yes,0,1,1
3714-NTNFO,2016-01-01,No,,49.01,84.5,3906.7,1,1,1,2,79.71230361150785,0,Female,0,No,No,Month-to-month,Yes,Electronic check,Fiber optic,Yes,0,1,1
5948-UJZLF,2019-12-01,No,,2.04,49.25,97.0,1,1,0,1,47.549019607843135,0,Male,0,No,No,Month-to-month,No,Mailed check,DSL,No,0,1,1
7760-OYPDY,2019-11-01,2020-01-01 00:00:00,2020-01-01,3.02,80.65,144.15,1,1,0,1,47.7317880794702,0,Female,0,No,No,Month-to-month,Yes,Electronic check,Fiber optic,No,1,0,0
7639-LIAYI,2015-10-01,No,,52.04,79.75,4217.8,4,1,1,5,81.04919292851653,1,Male,0,No,No,Two year,Yes,Credit card (automatic),DSL,Yes,0,1,1
2954-PIBKO,2014-05-01,No,,69.05,64.15,4254.1,3,1,1,4,61.60897900072412,1,Female,0,Yes,Yes,Two year,Yes,Credit card (automatic),DSL,Yes,0,1,1
8012-SOUDQ,2016-07-01,No,,43.04,90.25,3838.75,2,1,1,3,89.19028810408922,0,Female,1,No,No,Month-to-month,Yes,Electronic check,Fiber optic,Yes,0,1,1
9420-LOJKX,2018-09-01,2019-12-01 00:00:00,2019-12-01,17.02,99.1,1426.4,4,1,0,4,83.80728554641598,1,Female,0,No,No,Month-to-month,Yes,Credit card (automatic),Fiber optic,No,1,0,0
6575-SUVOI,2018-01-01,No,,25.0,69.5,1752.65,3,1,1,4,70.10600000000001,1,Female,1,Yes,No,Month-to-month,Yes,Credit card (automatic),DSL,Yes,0,1,1
7495-OOKFY,2019-03-01,2019-11-01 00:00:00,2019-11-01,11.07,80.65,633.3,1,1,1,2,57.20867208672086,1,Female,1,Yes,No,Month-to-month,Yes,Credit card (automatic),Fiber optic,Yes,1,0,0
4667-QONEA,2015-02-01,No,,59.99,74.85,4456.35,5,1,0,5,74.28488081346892,1,Female,1,Yes,Yes,One year,Yes,Credit card (automatic),DSL,No,0,1,1
1658-BYGOY,2018-07-01,2020-01-01 00:00:00,2020-01-01,19.05,95.45,1752.55,2,1,1,3,91.99737532808399,0,Male,1,No,No,Month-to-month,Yes,Electronic check,Fiber optic,Yes,1,0,0
8769-KKTPH,2014-11-01,No,,63.01,99.65,6311.2,3,1,1,4,100.16187906681479,1,Female,0,Yes,Yes,One year,Yes,Credit card (automatic),Fiber optic,Yes,0,1,1
5067-XJQFU,2014-08-01,No,,66.03,108.45,7076.35,5,1,1,6,107.16871119188248,0,Male,1,Yes,Yes,One year,Yes,Electronic check,Fiber optic,Yes,0,1,1
3957-SQXML,2017-04-01,No,,34.03,24.95,894.3,0,0,1,1,26.27975315897737,1,Female,0,Yes,Yes,Two year,No,Credit card (automatic),,Yes,0,1,1
5954-BDFSG,2014-02-01,No,,71.98,107.5,7853.7,4,1,1,5,109.10947485412613,1,Female,0,No,No,Two year,Yes,Credit card (automatic),Fiber optic,Yes,0,1,1
0434-CSFON,2016-03-01,No,,47.04,100.5,4707.1,3,1,1,4,100.06590136054423,0,Female,0,Yes,No,Month-to-month,Yes,Electronic check,Fiber optic,Yes,0,1,1
1215-FIGMP,2015-02-01,No,,59.99,89.9,5450.7,2,1,1,3,90.86014335722619,1,Male,0,No,No,Month-to-month,Yes,Bank transfer (automatic),Fiber optic,Yes,0,1,1
0526-SXDJP,2014-02-01,No,,71.98,42.1,2962.0,3,1,0,3,41.150319533203664,1,Male,0,Yes,No,Two year,No,Bank transfer (automatic),DSL,,0,1,1
0557-ASKVU,2018-08-01,No,,18.04,54.4,957.1,2,1,0,2,53.05432372505543,1,Female,0,Yes,Yes,One year,Yes,Credit card (automatic),DSL,No,0,1,1
5698-BQJOH,2019-04-01,2020-01-01 00:00:00,2020-01-01,10.05,94.4,857.25,2,1,1,3,85.29850746268656,0,Female,0,No,No,Month-to-month,No,Electronic check,Fiber optic,Yes,1,0,0
5122-CYFXA,2019-11-01,No,,3.02,75.3,244.1,4,1,0,4,80.82781456953641,0,Female,0,No,No,Month-to-month,Yes,Electronic check,DSL,No,0,1,1
8627-ZYGSZ,2016-03-01,No,,47.04,78.9,3650.35,1,1,1,2,77.60097789115646,0,Male,0,Yes,No,One year,Yes,Electronic check,Fiber optic,Yes,0,1,1
3410-YOQBQ,2017-07-01,No,,31.04,79.2,2497.2,5,1,0,5,80.45103092783505,0,Female,0,No,No,Two year,No,Mailed check,DSL,No,0,1,1
3170-NMYVV,2015-12-01,No,,50.03,20.15,930.9,0,0,0,0,18.606835898460922,1,Female,0,Yes,Yes,Two year,No,Bank transfer (automatic),,No,0,1,1
7410-OIEDU,2019-04-01,No,,10.05,79.85,887.35,2,1,0,2,88.29353233830845,0,Male,0,No,No,Month-to-month,Yes,Mailed check,Fiber optic,No,0,1,1
2273-QCKXA,2020-01-01,No,,1.02,49.05,49.05,1,1,0,1,48.088235294117645,0,Male,0,No,No,Month-to-month,No,Mailed check,DSL,No,0,1,1
0731-EBJQB,2015-10-01,No,,52.04,20.4,1090.65,0,0,0,0,20.95791698693313,0,Female,0,Yes,Yes,One year,Yes,Electronic check,,No,0,1,1
1891-QRQSA,2014-10-01,No,,64.03,111.6,7099.0,5,1,1,6,110.8699047321568,1,Male,1,Yes,Yes,Two year,Yes,Bank transfer (automatic),Fiber optic,Yes,0,1,1
8028-PNXHQ,2014-12-01,No,,62.02,24.25,1424.6,0,0,1,1,22.97000967429861,1,Male,0,Yes,Yes,Two year,Yes,Bank transfer (automatic),,Yes,0,1,1
5630-AHZIL,2019-11-01,No,,3.02,64.5,177.4,3,1,0,3,58.741721854304636,1,Female,0,No,Yes,Month-to-month,Yes,Bank transfer (automatic),DSL,No,0,1,1
2673-CXQEU,2015-06-01,No,,56.04,110.5,6139.5,5,1,1,6,109.55567451820129,0,Female,1,No,No,One year,No,Electronic check,Fiber optic,Yes,0,1,1
6416-JNVRK,2016-04-01,No,,46.02,55.65,2688.85,1,1,0,1,58.42785745328118,1,Female,0,No,No,One year,No,Credit card (automatic),DSL,No,0,1,1
5590-ZSKRV,2019-06-01,No,,8.05,54.65,482.25,2,1,0,2,59.90683229813664,0,Female,0,Yes,Yes,Month-to-month,No,Mailed check,DSL,No,0,1,1
0191-ZHSKZ,2017-08-01,No,,30.03,74.75,2111.3,4,1,0,4,70.3063603063603,0,Male,1,No,No,Month-to-month,Yes,Electronic check,DSL,No,0,1,1
3887-PBQAO,2016-05-01,No,,45.04,25.9,1216.6,0,0,1,1,27.01154529307282,1,Female,0,Yes,Yes,One year,Yes,Credit card (automatic),,Yes,0,1,1
5919-TMRGD,2019-11-01,2019-12-01 00:00:00,2019-12-01,3.02,79.35,79.35,1,1,0,1,26.274834437086092,0,Female,0,No,Yes,Month-to-month,Yes,Electronic check,Fiber optic,No,1,0,0
8108-UXRQN,2019-03-01,No,,11.07,50.55,565.35,3,1,0,3,51.070460704607044,0,Female,0,Yes,Yes,Month-to-month,No,Electronic check,DSL,,0,1,1
9191-MYQKX,2019-03-01,2019-10-01 00:00:00,2019-10-01,11.07,75.15,496.9,1,1,0,1,44.88708220415537,1,Female,0,Yes,No,Month-to-month,Yes,Bank transfer (automatic),Fiber optic,No,1,0,0
9919-YLNNG,2016-08-01,No,,42.02,103.8,4327.5,5,1,0,5,102.98667301285101,1,Female,0,No,No,Month-to-month,Yes,Bank transfer (automatic),Fiber optic,No,0,1,1
0318-ZOPWS,2016-01-01,No,,49.01,20.15,973.35,0,0,0,0,19.860232605590696,1,Female,0,Yes,No,Two year,Yes,Bank transfer (automatic),,No,0,1,1
4445-ZJNMU,2019-05-01,No,,9.07,99.3,918.75,3,1,1,4,101.2954796030871,1,Male,0,No,No,Month-to-month,Yes,Credit card (automatic),Fiber optic,Yes,0,1,1
4808-YNLEU,2017-03-01,No,,35.05,62.15,2215.45,2,1,0,2,63.208273894436516,1,Female,0,Yes,No,One year,Yes,Bank transfer (automatic),DSL,No,0,1,1
1862-QRWPE,2016-02-01,No,,48.0,20.65,1057.0,0,0,0,0,22.020833333333332,1,Female,0,Yes,Yes,Two year,No,Bank transfer (automatic),,No,0,1,1
2796-NNUFI,2016-04-01,No,,46.02,19.95,927.1,0,0,0,0,20.14558887440243,0,Female,0,Yes,Yes,Two year,Yes,Mailed check,,No,0,1,1
3016-KSVCP,2017-09-01,No,,29.01,33.75,1009.25,1,1,0,1,34.7897276801103,0,Male,0,Yes,No,Month-to-month,No,Mailed check,DSL,,0,1,1
4767-HZZHQ,2017-08-01,No,,30.03,82.05,2570.2,2,1,0,2,85.58774558774557,1,Male,0,Yes,Yes,Month-to-month,No,Bank transfer (automatic),Fiber optic,No,0,1,1
2424-WVHPL,2020-01-01,No,,1.02,74.7,74.7,1,1,0,1,73.23529411764706,0,Male,1,No,No,Month-to-month,No,Electronic check,Fiber optic,No,0,1,1
7233-PAHHL,2014-08-01,No,,66.03,84.0,5714.25,5,1,1,6,86.54020899591094,0,Male,0,Yes,Yes,Two year,Yes,Mailed check,DSL,Yes,0,1,1
6067-NGCEU,2014-09-01,No,,65.01,111.05,7107.0,5,1,1,6,109.32164282418088,1,Female,0,No,No,Month-to-month,Yes,Credit card (automatic),Fiber optic,Yes,0,1,1
9848-JQJTX,2014-02-01,No,,71.98,100.9,7459.05,4,1,1,5,103.62670186162822,1,Male,0,No,No,Two year,Yes,Bank transfer (automatic),Fiber optic,Yes,0,1,1
8637-XJIVR,2018-12-01,2019-12-01 00:00:00,2019-12-01,14.03,78.95,927.35,1,1,1,2,66.0976478973628,0,Female,0,No,No,Month-to-month,Yes,Electronic check,Fiber optic,Yes,1,0,0
9803-FTJCG,2014-03-01,No,,71.06,66.85,4748.7,3,1,1,4,66.8266253869969,1,Male,0,Yes,Yes,One year,Yes,Credit card (automatic),DSL,Yes,0,1,1
0278-YXOOG,2019-06-01,2019-11-01 00:00:00,2019-11-01,8.05,21.05,113.85,0,0,0,0,14.14285714285714,0,Male,0,No,No,Month-to-month,No,Mailed check,,No,1,0,0
3212-KXOCR,2015-10-01,No,,52.04,21.0,1107.2,0,0,0,0,21.275941583397387,1,Male,0,No,No,Two year,No,Bank transfer (automatic),,No,0,1,1
4598-XLKNJ,2017-12-01,2020-01-01 00:00:00,2020-01-01,26.02,98.5,2514.5,4,1,0,4,96.63720215219062,0,Female,1,Yes,No,Month-to-month,Yes,Electronic check,Fiber optic,No,1,0,0
6380-ARCEH,2020-01-01,No,,1.02,20.2,20.2,0,0,0,0,19.80392156862745,0,Male,0,No,No,Month-to-month,No,Mailed check,,No,0,1,1
3679-XASPY,2020-01-01,No,,1.02,19.45,19.45,0,0,0,0,19.06862745098039,0,Female,0,Yes,Yes,Month-to-month,No,Electronic check,,No,0,1,1
7123-WQUHX,2016-12-01,No,,38.01,95.0,3605.6,3,1,1,4,94.85924756642989,1,Male,0,No,No,One year,No,Bank transfer (automatic),Fiber optic,Yes,0,1,1
5386-THSLQ,2014-08-01,No,,66.03,45.55,3027.25,3,1,0,3,45.84658488565803,1,Female,1,Yes,No,One year,No,Bank transfer (automatic),DSL,,0,1,1
3192-NQECA,2014-03-01,2019-11-01 00:00:00,2019-11-01,71.06,110.0,7611.85,5,1,1,6,107.11863214185196,1,Male,0,Yes,No,Two year,Yes,Bank transfer (automatic),Fiber optic,Yes,1,0,0
6180-YBIQI,2019-09-01,No,,5.03,24.3,100.2,0,1,0,0,19.92047713717694,0,Male,0,No,No,Month-to-month,No,Mailed check,DSL,,0,1,1
6728-DKUCO,2014-02-01,No,,71.98,104.15,7303.05,4,1,1,5,101.45943317588218,0,Female,0,Yes,Yes,One year,Yes,Electronic check,Fiber optic,Yes,0,1,1
9750-BOOHV,2017-06-01,No,,32.03,30.15,927.65,1,1,0,1,28.961910708710583,0,Female,0,No,No,One year,No,Mailed check,DSL,,0,1,1
8597-CWYHH,2016-07-01,No,,43.04,94.35,3921.3,2,1,1,3,91.1082713754647,0,Male,0,No,No,One year,No,Mailed check,Fiber optic,Yes,0,1,1
2848-YXSMW,2014-02-01,No,,71.98,19.4,1363.25,0,0,0,0,18.93928869130314,1,Male,0,Yes,Yes,Two year,No,Credit card (automatic),,No,0,1,1
0486-HECZI,2015-05-01,2019-12-01 00:00:00,2019-12-01,57.06,96.75,5238.9,3,1,1,4,91.81388012618295,0,Male,0,Yes,No,Month-to-month,Yes,Electronic check,Fiber optic,Yes,1,0,0
4549-ZDQYY,2015-10-01,No,,52.04,57.95,3042.25,3,1,0,3,58.45983858570331,1,Female,0,No,No,One year,No,Credit card (automatic),DSL,No,0,1,1
5712-AHQNN,2016-07-01,No,,43.04,91.65,3954.1,3,1,0,3,91.8703531598513,0,Female,0,No,No,Month-to-month,Yes,Electronic check,Fiber optic,No,0,1,1
4846-WHAFZ,2016-10-01,2019-11-01 00:00:00,2019-11-01,40.01,76.5,2868.15,0,1,1,1,71.68582854286429,0,Female,1,Yes,No,Month-to-month,Yes,Electronic check,Fiber optic,Yes,1,0,0
5256-SKJGO,2014-10-01,No,,64.03,54.6,3423.5,4,1,0,4,53.46712478525691,0,Female,0,Yes,Yes,Two year,Yes,Electronic check,DSL,,0,1,1
3071-VBYPO,2019-11-01,No,,3.02,89.85,248.4,3,1,0,3,82.25165562913908,0,Male,0,Yes,Yes,Month-to-month,No,Electronic check,Fiber optic,No,0,1,1
9560-BBZXK,2017-02-01,No,,35.97,31.05,1126.35,1,1,0,1,31.313594662218513,1,Female,0,No,No,Two year,No,Bank transfer (automatic),DSL,,0,1,1
5299-RULOA,2019-02-01,2019-12-01 00:00:00,2019-12-01,11.99,100.25,1064.65,3,1,1,4,88.79482902418682,0,Female,0,Yes,Yes,Month-to-month,Yes,Electronic check,Fiber optic,Yes,1,0,0
8402-OOOHJ,2016-09-01,No,,41.0,20.65,835.15,0,0,0,0,20.36951219512195,0,Female,0,No,No,Two year,No,Mailed check,,No,0,1,1
9445-ZUEQE,2017-11-01,No,,27.0,85.2,2151.6,2,1,1,3,79.68888888888888,1,Male,0,Yes,Yes,Month-to-month,Yes,Credit card (automatic),Fiber optic,Yes,0,1,1
1091-SOZGA,2015-06-01,No,,56.04,99.8,5515.45,3,1,1,4,98.41987865810135,1,Female,0,Yes,Yes,One year,Yes,Credit card (automatic),Fiber optic,Yes,0,1,1
2928-HLDBA,2019-08-01,No,,6.04,20.7,112.75,0,0,0,0,18.667218543046356,0,Female,0,No,No,Month-to-month,No,Mailed check,,No,0,1,1
0404-SWRVG,2019-09-01,2019-12-01 00:00:00,2019-12-01,5.03,74.4,229.55,0,1,1,1,45.636182902584494,0,Male,0,No,No,Month-to-month,Yes,Electronic check,Fiber optic,Yes,1,0,0
6497-TILVL,2019-07-01,No,,7.06,50.7,350.35,1,1,0,1,49.62464589235128,0,Female,0,Yes,Yes,Month-to-month,No,Mailed check,DSL,No,0,1,1
7219-TLZHO,2019-10-01,No,,4.04,20.85,62.9,0,0,0,0,15.569306930693068,0,Female,0,Yes,Yes,Month-to-month,No,Mailed check,,No,0,1,1
4622-YNKIJ,2017-05-01,No,,33.05,88.95,3027.65,3,1,0,3,91.60816944024207,0,Male,0,No,No,Two year,Yes,Electronic check,Fiber optic,No,0,1,1
4412-YLTKF,2017-10-01,2020-01-01 00:00:00,2020-01-01,28.02,78.05,2135.5,1,1,1,2,76.21341898643826,0,Female,1,No,No,Month-to-month,Yes,Electronic check,Fiber optic,Yes,1,0,0
6734-PSBAW,2014-02-01,No,,71.98,23.55,1723.95,0,0,1,1,23.95040288969158,1,Male,0,Yes,No,Two year,Yes,Bank transfer (automatic),,Yes,0,1,1
3930-ZGWVE,2020-01-01,No,,1.02,19.75,19.75,0,0,0,0,19.362745098039216,0,Male,0,No,No,Month-to-month,No,Mailed check,,No,0,1,1
2639-UGMAZ,2014-03-01,No,,71.06,56.45,3985.35,4,1,0,4,56.08429496200394,0,Male,1,No,No,One year,Yes,Electronic check,DSL,,0,1,1
2876-GZYZC,2019-01-01,No,,13.01,85.95,1215.65,1,1,1,2,93.43966179861646,0,Female,0,No,No,Month-to-month,Yes,Electronic check,Fiber optic,Yes,0,1,1
6207-WIOLX,2017-12-01,2020-01-01 00:00:00,2020-01-01,26.02,58.6,1502.65,5,1,0,5,57.74980784012298,1,Female,0,Yes,Yes,Month-to-month,Yes,Credit card (automatic),DSL,,1,0,0
8587-XYZSF,2014-07-01,No,,67.05,50.55,3260.1,1,1,0,1,48.62192393736018,1,Male,0,No,No,Two year,No,Bank transfer (automatic),DSL,No,0,1,1
3091-FYHKI,2019-12-01,2020-01-01 00:00:00,2020-01-01,2.04,35.45,35.45,1,1,0,1,17.377450980392158,0,Male,0,No,No,Month-to-month,Yes,Electronic check,DSL,,1,0,0
2372-HWUHI,2019-11-01,2020-01-01 00:00:00,2020-01-01,3.02,44.35,81.25,0,1,0,0,26.903973509933774,0,Male,0,No,No,Month-to-month,No,Electronic check,DSL,No,1,0,0
7799-LGRDP,2016-07-01,No,,43.04,25.7,1188.2,0,0,1,1,27.606877323420075,1,Female,0,No,No,Two year,Yes,Credit card (automatic),,Yes,0,1,1
7850-VWJUU,2018-03-01,No,,23.06,75.0,1778.5,1,1,0,1,77.12489158716393,1,Female,0,No,No,Month-to-month,Yes,Bank transfer (automatic),Fiber optic,No,0,1,1
3774-VBNXY,2014-10-01,No,,64.03,20.2,1277.75,0,0,0,0,19.955489614243323,0,Female,0,Yes,Yes,Two year,No,Mailed check,,No,0,1,1
6217-KDYWC,2015-05-01,No,,57.06,19.6,1170.55,0,0,0,0,20.514370837714683,0,Male,0,No,Yes,Two year,Yes,Mailed check,,No,0,1,1
0390-DCFDQ,2019-10-01,2019-11-01 00:00:00,2019-11-01,4.04,70.45,70.45,0,1,0,0,17.43811881188119,0,Female,1,Yes,No,Month-to-month,Yes,Mailed check,Fiber optic,No,1,0,0
3146-MSEGF,2014-02-01,No,,71.98,88.05,6425.65,6,1,1,7,89.26993609335926,1,Female,1,Yes,Yes,Two year,Yes,Credit card (automatic),DSL,Yes,0,1,1
4080-OGPJL,2019-02-01,2019-10-01 00:00:00,2019-10-01,11.99,71.15,563.65,3,1,1,4,47.01000834028357,0,Female,0,No,No,Month-to-month,No,Electronic check,DSL,Yes,1,0,0
1095-WGNGG,2015-01-01,No,,61.01,101.05,5971.25,3,1,1,4,97.87329945910507,1,Female,0,Yes,No,Two year,Yes,Bank transfer (automatic),Fiber optic,Yes,0,1,1
2636-SJDOU,2014-10-01,No,,64.03,84.3,5289.05,2,1,1,3,82.60268624082461,1,Male,0,No,No,One year,Yes,Credit card (automatic),Fiber optic,Yes,0,1,1
